qualification,textMessage
ASESORAMIENTO,Hola buen día podría darme más información acerca del caso ?
VERIFICACIÓN DE NÚMERO,Numero equivocado.no molestar
ASESORAMIENTO,Expliqueme por favor
CONFIRMADOS,Electro Oriente le informa que se viene realizando los cortes del servicio de energia electrica por mantener deuda pendiente; Si ya pago omita este mensaje.
RENUENTE,no voy a pagar 
NO DESEADO,Por favor no me molesten 
ASESORAMIENTO,Esta deuda esta ya prescrita.
ASESORAMIENTO,Quiero señorita 
NO APLICA,Sinestoyninteresado
NO DESEADO,Bvskenlo y dejen de joder
VERIFICACIÓN DE NÚMERO,o moleste a este número 
VERIFICACIÓN DE NÚMERO,buenas tardes pero me parece que se equivoco pero le hablan de la empresa FUMIPERU FIRE SAC
RENUENTE,yo no debo ni un put. Sol ya deje de enviar mensaje 
NO APLICA,Esto es su numero de mayumi
VERIFICACIÓN DE NÚMERO,De quien es ese numero 
PREVENCIÓN,Se}or no me incomoda por favor sino este numero estar¿ denunciando a opsitel por molestarme cada rato
ASESORAMIENTO,De que deuda dice ud 
RENUENTE,Proble.as legales con kien.ahhh.
ASESORAMIENTO,Si buenas como aria
ASESORAMIENTO,Gracias por la oportunidad 
ASESORAMIENTO,Sr me puedes decir que banco y cuanto. Es. El monto 
ASESORAMIENTO,Saver
VERIFICACIÓN DE NÚMERO,Yo no soy Karen
ASESORAMIENTO,Quiero información
NO APLICA,Porque no me va alcanzar la hora
NO APLICA,*265 (enviado con grito)
ASESORAMIENTO,Sr ya coordine con mi asesor 
ASESORAMIENTO,Hola dígame para que soy buena 
VERIFICACIÓN DE NÚMERO,No conozco a esa persona soy julio y te equivocaste de numero gracias.
VERIFICACIÓN DE NÚMERO,Disculpe ? Señora penadillo? 
RENUENTE,Que conccionarios estan los modelos
ASESORAMIENTO,No debo anadie solo adiós mivida
COMPROMISO,Y lo cancelare en la trde porfaaa
CONFIRMADOS,Ya lo Ise a yer lo encargado que le cansele que no. Lo isieron
ASESORAMIENTO,Buenas tardes puede indicar el monto de la deuda ???
ASESORAMIENTO,"Yo no hago prestamo,a nadies ni al banco peor al vecino,cobra a lo que te debe"
NO DESEADO,No te olvides por favor 
VERIFICACIÓN DE NÚMERO,x q no lo buscas a ese señor dejan de enviar mensajes ami celu
RENUENTE,Buenas tarde soy hermana mi hermano esta en tratamiento  en el hospital sabogal 
ASESORAMIENTO,Ya que hago
VERIFICACIÓN DE NÚMERO,Numero equivocado por favor deje de enviar mensajes desde ayer estan qué envian 
NO DESEADO,Dejen de molestar delincuentes
NO DESEADO,Rata ctm hijo de puta 
NO APLICA,"TEAPUESTO: Empezo el entretiempo del LDU-Sao Paulo! Aprovecha y gana hasta S/1,000 en Cash Back sin Rollover con Casino! Juega HOY desde S/50>cutt.ly/owjxMU5e"
COMPROMISO,"Amigo yo siempre pago los 29, gracias "
ASESORAMIENTO, yo quisiera  q me den solucion  yo quiero pagar no quiero deber ya
VERIFICACIÓN DE NÚMERO,"Ya me tienen cansado con sus llamadas, le vuelvo a repetir que tomaron mi numero o se equivocaron, no hagan que los denuncio en el organismo regulador."
NO DESEADO,A tu mamá le operarán de culo 
ASESORAMIENTO,"Ni hay tiendas Kia por mi ciudad, ¿algún número para comunicarme?"
NO APLICA,4bd72cf43518fc7cb6645f77bd7df9799e182fe74b55ac62ea  65 kB Vence el 
ASESORAMIENTO,Conquien tengo el gusto por fa 
NO DESEADO,Lo q yo se q mi mama no  les presto bastante y ella  hasta donde yo se   k si les cancelaba  yo no se nada mas   este nro lo tengo  yo su hija x favor
ASESORAMIENTO,Yo no tengo ningun crédito en caja sullana 
NO APLICA,Q cuandi
NO APLICA,Informé 
NO APLICA,Cuando en Peru gano el comunismo todo se fue al diablo
NO DESEADO,"Dice la sr. Mamani que me la chupes , estafador hdp"
VERIFICACIÓN DE NÚMERO,Que tal hasta cuando 
NO APLICA,Era loca 
ASESORAMIENTO,Y que quieres?
ASESORAMIENTO,Si el descuento es verdadero me llaman a lo mucho pienso pagar 300 soles si no es asi x favor ni me molesten
NO DESEADO,No me jodas chingados vete a mierda
VERIFICACIÓN DE NÚMERO,Número equivocado Mi nombre es Mario 
VERIFICACIÓN DE NÚMERO,No conozco a ningun  del aguila numero equivocado 
RENUENTE,Ya le dije que no se nada no me moleste
ASESORAMIENTO,Y por quien s puede preguntar
NO APLICA,AGOSTO 
ASESORAMIENTO,A que nombre?
NO APLICA,Te crees viva
ASESORAMIENTO,Me esperara
NO APLICA,oogleapis.com/4ebcd1cd-f53a-4348-a831-3daee60eb8e2/55e0d020f5738a8c
VERIFICACIÓN DE NÚMERO,Dsclpe n soy agueda 
ASESORAMIENTO,I mi q chua me intereaa 
VERIFICACIÓN DE NÚMERO,Soy nohemi 
ASESORAMIENTO,Tu quien eres disculpa
ASESORAMIENTO,Pueden evaluar DNI 
NO APLICA,Por ultimo ves 
NO APLICA,o de msm.
ASESORAMIENTO,como voy agendar una cita si no tengo informacion detallada sobre mi prestamo.
RENUENTE,No vendo nada
ASESORAMIENTO,Pero no uso wsp
ASESORAMIENTO,Me.puede llamar x favor
CONFIRMADOS,Ya realicé pago
NO APLICA,Jajaja siguro
ASESORAMIENTO,"Disculpe ya consulté con mi hermana. Kien  IVA a pagar el. Banco  ,"
ASESORAMIENTO,Cual es la inicial informacion x favor 
CONFIRMADOS,Me dan mi carta no a deudo
ASESORAMIENTO,Les ofrezco 100 soles. Me confirman. 
VERIFICACIÓN DE NÚMERO,Señor buenas tardes escuche cuando mi hermano viajo al extranjero me dejo celular y yo uso con su nombre
CONFIRMADOS,Hace 2 dias atras pague y siguen con sus llamadas y mensajes molestos
VERIFICACIÓN DE NÚMERO,Dejen de estar jodiendo porque no conocemos a la señora por favor este celular es de mi esposo. 
COMPROMISO,El dia 21
CONFIRMADOS,Joders ya esta pagado
ASESORAMIENTO,Quiero pagar por yape 
ASESORAMIENTO,Disculpe pero yo no estoy vendiendo productos de Esika
ASESORAMIENTO,Tengo una inicial de 10 mil soles
ASESORAMIENTO,Con quien hablo por favor
ASESORAMIENTO,El moto cuanto es
ASESORAMIENTO,942479506 llamame ahi 
COMPROMISO,Gracias luego pagare 
ASESORAMIENTO,con el mismo codigo
ASESORAMIENTO,ica debe  ser  amable  no soberbia y  dando  malos  tratos  asi  no  se  puede  llegar  a ningun  acuerdo
ASESORAMIENTO,Pero me piden el 30% de inicial 
NO DESEADO,Estas loca yo no debo nada adios
PREVENCIÓN,ta un mensaje más me molestan me quejo a indecopi
ASESORAMIENTO,Buenos dias cuanto es el monto de interés para mandar a cancelar por favor 
ASESORAMIENTO,Buenas disculpe pero me puedo conseguir  500 soles disculpe y graciaas
ASESORAMIENTO,Quiten mi número de su sistema 
ASESORAMIENTO,e a decir que cómo puedo pagar el crédito porque hoy día me toca y 
NO DESEADO,No molesten... 
ASESORAMIENTO,Q eres para llamar 
ASESORAMIENTO,"No tengo ninguna deuda, no estudio ahí "
ASESORAMIENTO,Buen día porfavor me lo puede activar para poder realizar el pago p
ASESORAMIENTO,Yo nodebo aninguna caja xfavor
ASESORAMIENTO,Buen Dia yo hable con la sta que me inscribio y que ya no continuaria con con el seguro gracias no insistir
NO APLICA,Tsmr
ASESORAMIENTO,Ok si cuando podrían venir? 
NO APLICA,Nicidqqa
NO APLICA,Casaca Rigy 
NO APLICA,Y ole
VERIFICACIÓN DE NÚMERO,Yo soy menor de edad comunicase con ella no conmigo 
COMPROMISO,Estoy yendo a cancelar
ASESORAMIENTO,"on una persona sin su consentimiento, de modo que pueda alterar el "
VERIFICACIÓN DE NÚMERO, Deven averiguar bien el número me están enviando mensajes de ase t
ASESORAMIENTO,"Buenas noches,me puede informar sobre el préstamo. "
PREVENCIÓN,A ese  numero voy a denunciar por acoso 
ASESORAMIENTO,Donde se puede hacer el pago ?
VERIFICACIÓN DE NÚMERO,Que parte no entienden que no soy Sara Valverde  dejen de molestar por favor... 
NO APLICA,Comomuniquese con la persona indicado
ASESORAMIENTO,Hasta luego que pena 
NO DESEADO,No jodan tnr
VERIFICACIÓN DE NÚMERO,Nosoy osiel porque llega mensajes no devo
CONFIRMADOS,Ya normal q venga 
COMPROMISO,Buenas tardes. Disculpe yo estoy pagando todos los meses por planilla
NO APLICA,ias  
VERIFICACIÓN DE NÚMERO,No soy de la UPN dejen de molestar
ASESORAMIENTO,"Hola ,"
COMPROMISO,"Hola socio/a,  recuerde  que tiene  compromiso de pago de pr¿stamo HOY 24. LA REHABILITADORA.Omita si cancelo. Pagar desde https://acortar.link/B6GVQT, O XXXXXX"
COMPROMISO,Hoy lo depocito porfavor gracias
COMPROMISO,Si voy abonar el sábado 
NO APLICA,Cual ed la oferta
ASESORAMIENTO,Puedes comprar mi deuda?
NO DESEADO,Vin culo
VERIFICACIÓN DE NÚMERO,No le conozco
ASESORAMIENTO,Quien. ?
ASESORAMIENTO,"Sres dejen de escribir, nadie ha pedido publicidad de ningun tipo de su universidad, se los voy agradecer"
NO DESEADO,Mi concha ven a liquidar
VERIFICACIÓN DE NÚMERO,vían msj y no ese Nro no lo tiene esa persona averiguen bien 
NO APLICA,"orma reiterada, continua o habitual, y por cualquier medio, vigila,"
RENUENTE,No tengo trabajo ya les dije se esperaran   y no me pagan mi liquidacion también estoy esperando
ASESORAMIENTO,Quisiera saber cuanto debo 
CONFIRMADOS,Ya pague más de la mitad solo me falta un saldo y eso lo pago la pr
ASESORAMIENTO,Solo tengo 500 soles para abonarles no cuento con algo mas
ASESORAMIENTO,De que entidad son
NO APLICA,Otra ves 
ASESORAMIENTO,"No tengo ninguna deuda en Caja Huancayo, les recomiendo busquen a l"
ASESORAMIENTO,Buenas tarde y con cuanto se inicial? 
ASESORAMIENTO,buenas tardes si yo quiero un presupuesto de 3000 por un año cuanto me saldria el interés por favor 
VERIFICACIÓN DE NÚMERO,Se habra confundido de numero
NO APLICA,Deuda prescrita
NO APLICA,En chiclayo  también lambayeque 
PREVENCIÓN,diendo de número... Si siguen insistiendo tomaré medidas legales 
NO APLICA,E se s s sw2 ir ffwdrgttfeedrtrdffdddry te swfeweer
ASESORAMIENTO,No tengo cuenta en caja sullana
NO DESEADO,Mentance al culo sus webadas sarta de inbeciles y empiecen ah traba
RENUENTE,Soy millonario.. 
NO APLICA,"HOY! Facebook, TikTok, YouTube y datos FULL x 3 DIAS! RECARGA S/3 y lleva GRATIS EXTRA a tu recarga. RECARGA en tu BODEGA o AQUI smvst.com/RecargaPre"
ASESORAMIENTO, porfa
NO APLICA,<#> 50617578 es tu código de Facebook H29Q+Fsn4Sr
CONFIRMADOS,Yo pagué mi cuota a la que debe cobrar es a la señora Miriam 
CONFIRMADOS,Si ya pague revisen bien  su sistema
VERIFICACIÓN DE NÚMERO,Por favor no molestar se equivoco de telefono
ASESORAMIENTO,Xq me mandan menzajes si yo nunca saque préstamo en su finaciera
VERIFICACIÓN DE NÚMERO,Quien no conosco
CONFIRMADOS,disculpe ya Page mi deuda desde diciembre
COMPROMISO,Puede ser para la semana que viene porfavor  reci¿n me van a pagar 
VERIFICACIÓN DE NÚMERO,Cual cuenta estas muy ekibocado
ASESORAMIENTO,Y ese no es mi dni 
NO DESEADO,Estafa causa 
NO APLICA, Esqe tubo un familiar enfermo y tubo muchos gastos
CONFIRMADOS,Ya lo pague en el 2015
NO APLICA, Tardes. 
NO DESEADO,Me llegan al pincho hagan loque mejor les parece
NO APLICA,Así otro más 
ASESORAMIENTO,Perdon era 1600 soles
ASESORAMIENTO,Yo no tengo ni un pr¿stamo en ese banco
ASESORAMIENTO,Como te llamo si no se quién eres
ASESORAMIENTO,Descuento de que o que?
ASESORAMIENTO,No debo a ningún rosquete de caja Sullana 
ASESORAMIENTO,Quisiera un financiamiento pero estoy en infocor
ASESORAMIENTO,"Si se, estamos 24 "
ASESORAMIENTO,Desculpe dé que solucion me esta yo no debo a nadie esta equivocado 
NO APLICA,Noches. 
ASESORAMIENTO,Haber primero me ofrecen otro monto ahora esto ustedes no son personas serias
NO APLICA,Recuerdos quedaran. Los enbajadores criollos
NO APLICA,oogleapis.com/fe37e37f-1f8c-49c8-80b9-d20132b039f8/da4995a1f187e882
NO APLICA,Ays q bueno
VERIFICACIÓN DE NÚMERO,Se ha equivocado de informacion 
PREVENCIÓN,Se a equivocado no vuelvan a enviar mensajes sino los voy a denunciar por asoso
ASESORAMIENTO,Quien er4s
CONFIRMADOS,El dia de ayer pague
ASESORAMIENTO,Pase judicial no les entiendo  joven
CONFIRMADOS,Ya Page señito
RENUENTE,"Les dije que no jodan hijos de puta ,tu no eres de la empresa ,ahora por joder no me da la gana de pagar"
NO APLICA,cf01c30dab7b2f241c5217e4d79ce1a6fd5c29d3147e  56 kB (jpg) Vence el 
ASESORAMIENTO,Me puede mandar su catalogo 
RENUENTE,QUIERO que dejen de cobrarme así me estarán ayudando. Que me insult
NO APLICA,"Al,te"
ASESORAMIENTO,Si estoy de acuerdo
COMPROMISO,Ya en la tarde 
VERIFICACIÓN DE NÚMERO,Ya converse con uno de los analistas y le indique q al que llaman o mensajes se equivocaron de numero de celular 
ASESORAMIENTO,Disculpe quise desir de junio 
VERIFICACIÓN DE NÚMERO,Este número no pertenece a Verónica
NO APLICA,La aplicación BEES está registrando inconvenientes 
ASESORAMIENTO,Yo abone mas de 3900 pero ustedes son unos ladrones me quieren cobrar como si nunca estuve pagando es que asi no me molesten  si ya le dije el monto que 
COMPROMISO,Buenas tardes un favor el dia de mañana me acercaré a cancelar motivo de salud y recién el dia de mañana me estan depositando mi sueldo 
ASESORAMIENTO,Cuanto es la.inicial 
NO APLICA,or yape. 
NO APLICA,Ala caja sullana
NO DESEADO,Dile a tu puta madre ....come tu caca ctm HDP 
PREVENCIÓN,No es su número me vuelven a mandar y los denuncio 
ASESORAMIENTO,Buenas tardes este es mi numero 918632188 quisiera ablar sobre de mi deuda
ASESORAMIENTO,Buenos días explique 
ASESORAMIENTO,"Estoy llamando, y no me contestan me podrian devolver la llamada"
ASESORAMIENTO,En que momento yo me inscribi. Cual es su nombre completo de ud..
ASESORAMIENTO,Te llamo plan de 2 de la rarde
ASESORAMIENTO,Oe ami me llega tu articulo civil ya estoy curado para esa vaina si compraron esa cuenta ya es su problema 
NO APLICA,𝑬𝒒𝒖𝒊𝒗𝒐𝒄𝒂𝒄𝒊𝒐́𝒏
NO DESEADO,Deja de molestar Cada rato
ASESORAMIENTO,Quiero Acer una consulta 
NO DESEADO,Primero chupame la verga 
ASESORAMIENTO,Señorita buenos dias 
VERIFICACIÓN DE NÚMERO,YA LE VOY A ENVIAR SU NRO DE EL
RENUENTE,De que le debo no comprendo
VERIFICACIÓN DE NÚMERO,Yo le enpreste mi celular porq me pidió de favor porq ni lo conozco
VERIFICACIÓN DE NÚMERO,No soy Taboada Tavara numero equibocado
NO APLICA,Hasle ver a tu jefe de pacotilla este mensaje
COMPROMISO,Buenos  dias ayer  viaje haber a teodoro. No le an pagado todavia poreso no a pagado le ban a pagar fin de mes un fabor dise qe lo espere ayi ba a pagar 
ASESORAMIENTO,Por favor ya no me envien mensajes
CONFIRMADOS,Ya pagu¿ los 264 soles
NO DESEADO,Dejem de molestat ustedes son un bil de estafadores
ASESORAMIENTO, Por chumbivillcas estoy 
ASESORAMIENTO,Dsclpa perdi mi celular y no m acuerdo d mi codigo d la bakus
NO APLICA,No pasa nada con tus analistas
NO APLICA,79n
COMPROMISO,Hoy lo pagamos 
ASESORAMIENTO,Como es el crédito para poder pagar de que tiempo o es mensual 
NO DESEADO,Ballense a la mierda a mi nome dieron nada no me jodan
NO APLICA,"Nuscanse un trabajo productivo ,no ser parasitos  de alguien"
NO APLICA,5ff426c1/aa0d6b4780e451ad7aa0788c6597dd3d3ae2f90bd9201f177e44093dfb7b?t=audio%2Famr&s=70758&e=20230923T192849.676451Z
ASESORAMIENTO,Con cuanto de inicial
NO APLICA,Así mismo quería saber si las clases son virtuales o presenciales ??
VERIFICACIÓN DE NÚMERO,Equivocado el numero 
ASESORAMIENTO,Por favor revisar su sistema yo no tengo deuda con esa entidad. 
PREVENCIÓN,"Deje de molestar o tendre que denunciar su entidad por acoso y molestia, no soy la persona que busca, revise bien o si no tendré que tomar medidas."
VERIFICACIÓN DE NÚMERO,Dejen de molestar no es el número de Víctor  Dejen de molestar grac
CONFIRMADOS,Ya cumpli con la cuota. 
VERIFICACIÓN DE NÚMERO,Creo k estan ekivocados
ASESORAMIENTO,Que couta ?
VERIFICACIÓN DE NÚMERO,Yo no soy victor no molestar
VERIFICACIÓN DE NÚMERO,"Favor no molestar. Este numero pertenece a Innovasys, de seguir asi vsmos a proceder a denunciarlos."
NO DESEADO,Fuera mierdaaaaaa 
NO APLICA,"@Hola MARLON!, paga tu Tarjeta CMR por la App Banco Falabella. Recuerda como aqui: https://youtu.be/bfPID42TnOg. Omite si pagaste."
ASESORAMIENTO,Cuanto me dija si pago todo
ASESORAMIENTO,Cuánto es la oferta
ASESORAMIENTO,Pero de que devo
NO APLICA,Canjea tus CMR Puntos en las tiendas de Sodimac a un puntaje increible desde 700 CMR Puntos.
ASESORAMIENTO,Puedo saber quién eres
ASESORAMIENTO,Bueno dias  no se por que me escribe yo no se Maribel   por favor deja de jorer
ASESORAMIENTO,Quisiera saber dónde puedo pagar en lima  
VERIFICACIÓN DE NÚMERO,"Numero equivocado, este numero no es de christian"
VERIFICACIÓN DE NÚMERO,Yo no debo nada se confundió 
ASESORAMIENTO,Más información al whatsapp 
ASESORAMIENTO,Dame un codigo para que puedan pagar
NO DESEADO,Podré calificar para un financiamiento 
VERIFICACIÓN DE NÚMERO,a que persona estan buscando
NO APLICA,Válleme lana ríos
COMPROMISO,Eso es fines de setiembre 
CONFIRMADOS,", me dijo k ya  avía pagado y  el 4 del mes de septiembre todavía l"
CONFIRMADOS,De que estoy debiendo si yo cansele mi recibo 
NO APLICA,En comas
COMPROMISO,Ya me llamaron y quedé en pagar en cuotas ustedes no tienen un control
COMPROMISO,Ya se pago hoy en la mañana
RENUENTE,Tuve un accidente 
ASESORAMIENTO,Buenas tardes me podrian dar informacion xfavor 
ASESORAMIENTO,Mi número de cuenta BCP Soles es 5356810658063. Mi número de cuenta
ASESORAMIENTO,O inicial cero
NO APLICA,Envialo a tu bieja
NO APLICA,Deseo el numero de win
CONFIRMADOS,Por k me llama be primero  figese la pantalla ps luego me llama si cumpli
VERIFICACIÓN DE NÚMERO,Disculpa a quien mierda mandas ese mensaje yo no soy ninguna Evita pedazo de cajadas
VERIFICACIÓN DE NÚMERO,Disculpe yo n soy medina número equivocado 
COMPROMISO,Voy a cancelar las dos cuotas el dia 31 de agosto por problemas de pago de sueldo 
ASESORAMIENTO,crédito no tengo  verdad?
NO DESEADO,Ya estoy cansado dé éstos mensajes envían ala persona correcta 
NO APLICA,"Ya no qedra una tacita de café, también "
NO DESEADO,Fuera tarao 
CONFIRMADOS,Buenos dia s
COMPROMISO,Si lo haré el lunes por favor 
VERIFICACIÓN DE NÚMERO,No soy Elisa.
ASESORAMIENTO,o sea mala llámeme ahorita para poderlo ir a pagar
ASESORAMIENTO,Como hago para hacer mi pedido al crédito 
CONFIRMADOS,Ya pague graciss
ASESORAMIENTO,"Quien miércoles eres, porque no se identifica "
ASESORAMIENTO,"quiero que dejes de joder, puedes?"
NO DESEADO,Vallan a recogerlos entonces 
ASESORAMIENTO,Quién eres no sé quién eres
ASESORAMIENTO,Con quién desea hablar quien ers no soy Eva y quién ers
VERIFICACIÓN DE NÚMERO,Yo no soy yerson desculpe 
RENUENTE,armadas yo explico como abogaylitigante ok estamos fritos no hay chamba para litigantes no pagan los clientes hasta que cambie un gobierno Democratico de
ASESORAMIENTO,"Dejar de enviar mensajes, yo no tengo ninguna deuda con caja Sullana por favor "
VERIFICACIÓN DE NÚMERO,Mire..no.me.jodan...este.es.mi.numero..me.vendieron.este...telefono...busquen.en.su.casa.a.esa.persona
PREVENCIÓN,Los voya denunciar
NO DESEADO,No sabes  robar cabron
NO DESEADO,No Judas estafadores spam
NO APLICA,Es sero inicial
NO DESEADO,Dejen de joder por mensajes si tanto le debe ese seño
COMPROMISO,Mañana  lo voy a pagar x favor
CONFIRMADOS,Hola ya se cancelo 
CONFIRMADOS,Ya cancele ctm
RENUENTE,Nunca se contrato esa poliza es una estafa favor de anular
ASESORAMIENTO,Si estoy interesado
VERIFICACIÓN DE NÚMERO,Se equivocó de persona este no es el número de esa señora gracias 
CONFIRMADOS,Ya terminé 
ASESORAMIENTO,Con inicial
NO APLICA,Ya disponible Star Wars: AHSOKA en Disney+. Descarga tu app Mi Movistar y activa tu beneficio sin costo adicional aqui  smvst.com/DesAppMM
CONFIRMADOS,Ya he pagado pq me siguen enviando mensaje por favor llamenle a la señora Blanca y preguntele
NO DESEADO,Valla se ala mierda 
ASESORAMIENTO,No tengo ningun credito en esa caja
NO DESEADO,Calla rechucha tu mare 
NO APLICA,No era 427 creo
ASESORAMIENTO,Mira yo como puedo hacer con esa deuda la verdad tengo tiempo si trabajando y como 
CONFIRMADOS,Ya pague por yape
COMPROMISO,Si ya voy a cancelar
NO APLICA,nómico..
PREVENCIÓN,dré una denuncia x su constante acoso.
RENUENTE,a 1:año?
NO APLICA,Como es el trámite
NO DESEADO,Chupa la pinga ctmre dejen de joder 
COMPROMISO,El lunes estoy pagando sin falta
NO APLICA,Agosto 
ASESORAMIENTO,De cuanto es el monto?
COMPROMISO,Ma}ana mismo me acercar¿ al mismo banco
NO DESEADO,Te voy a matar José si sigues con esa mrd
COMPROMISO,Ya coordiné con el st bustos 
ASESORAMIENTO,"Acoso (Artículo 151-A)  Se considera acoso, cuando una persona de f"
ASESORAMIENTO,Disculpe pero yo no debo a esa caja 
ASESORAMIENTO,Hola  buenas tardes  por cuanto  voy comprar  para llegar en esa punto 
RENUENTE,Por ahora no hay plata
NO APLICA,oogleapis.com/ae50e26e-7e5f-4230-94d9-49fb2227f90a/0a4fd974c769648e
ASESORAMIENTO,Yo no le devo 
PREVENCIÓN, Ai sigue mol3stando  le voy a denunciar 
NO APLICA,Save yo hablé con tu gerente 
RENUENTE,"lto, porque no soy sujeto de crédito,y no tengo a nadie que me quiera prestar. Buenas tardes "
ASESORAMIENTO,Disculpa nose porque andan mandándome mensajes    yo no tengo deudas 
VERIFICACIÓN DE NÚMERO,No soy señora yupanqui equivocado
ASESORAMIENTO,Escribame por WhatsApp estoy interesado.
COMPROMISO,"Buenos dias, si un favor el dia sabado estoy pagando "
RENUENTE,Pal otro año mejor 
RENUENTE,Te doy trabajo si quieres
NO APLICA,dl/code=Al9FyJPDuT
NO APLICA,"io, vigila, persigue, hostiga, asedia o busca establecer contacto o"
VERIFICACIÓN DE NÚMERO,Deje de escribir a mi selular sola mente monson yo no soy
NO APLICA,Se le envio un archivo. Pulse el vinculo a continuacion para descargarlo. https://rcs-user-content-us.storage.googleapis.com/da723330-42c2-11ee-aaff-cf02
CONFIRMADOS,Bueno ya cancele verifique bien 
VERIFICACIÓN DE NÚMERO,Este es numero equivocado gracias
VERIFICACIÓN DE NÚMERO,Este numero ya no pertenece al sr RODOLFO 
ASESORAMIENTO,Buenas tardes una consulta podria pagar en 2 cuotas
ASESORAMIENTO,Quién me puede dar info sobre tasas de interes de depósito a plazo 
NO APLICA,Mira como tiemblo de miedo
NO DESEADO,Chúpamela ctm 🔫🔫🔫
COMPROMISO,De hoy a mañana no pasara señorita no me olvido disculpe
NO APLICA,yo vivo a yacucho
ASESORAMIENTO,"Quien es ISOLUCIONES, que nunca tuve trato comercial con ustedes"
RENUENTE,Estoy en Lima Provincia 
NO DESEADO,Ke   chucha   keres   si  yo o    debo
ASESORAMIENTO,Código para canselarlo
PREVENCIÓN,Y de quién miércoles es este DNI por qué no lo envian a la persona correcta voy a denunciar estas cosas donde sea correspondiente como joden con este tip
NO APLICA,Su cobrador 
ASESORAMIENTO,Te puedo pasar los datos de mi tarjeta de crédito para hacerla rapido tu estafa?
COMPROMISO,Por favor con quién cordino para pagar mi letra el día lunes 28
RENUENTE,y si no pago que pasa
NO DESEADO,La oferta llevasela a tu mama 
COMPROMISO,El sábado lo are sin falta un favor
PREVENCIÓN,Ya estan denunciados por acoso telefonico y tambien porque cambian de numero molestando con una deuda que no dfbo 
ASESORAMIENTO,Estoy en un campamento minero y no hay linea en el celular podemos hablar por WhatsApp 
COMPROMISO,El 7 de octubre podre cancelar estado delicada sres
ASESORAMIENTO,Estoy preocupado ??  por honrar mis  cuotas
ASESORAMIENTO,Ese señor nome quiere dar un prestamo 
ASESORAMIENTO,Me interesa mucho un kia yo si quiero uno uso personal pero no  tengo la inicial  pero trabajo en la municipalidad de mi distrito y también vendo pan en 
NO APLICA,Thanks
VERIFICACIÓN DE NÚMERO,Nombre equivocado 
NO DESEADO,Hoy vence también tu plazo para que me des tus datos personales. No hablo con estafadores 
VERIFICACIÓN DE NÚMERO,A cual número 
VERIFICACIÓN DE NÚMERO,Este no es el numero de ninguna Patricia 
VERIFICACIÓN DE NÚMERO,No conozco a la persona con deuda que buscan.. en reiteradas veces 
ASESORAMIENTO,Como es..?? Más información? Xf..?
ASESORAMIENTO,Me interesa  requisitos por favor
RENUENTE,No plata
NO DESEADO,Vete a la conchasumare
